pull_request,number_of_commits,number_of_comments,number_of_reviews,user_type,user_login,merged_at,number_of_additions,number_of_deletions,number_of_files_changed,number_of_days,message,number_of_characters,second_line_is_blank,language,number_of_test_files
2784,3,0,0,Internals,ttaylorr,2017-12-14T18:06:51Z,23,19,6,0,"This pull request fixes an issue where extra LF characters were appended when re-encoding a migrated commit, causing theoretically idempotent migrations to issue ref updates.

The BNF for the loose commit format<sup>[[1](https://public-inbox.org/git/44D42F0D.3040707@gmail.com/)]</sup> says:

> ```
> Git files data formats
> ======================
>
> OBJECTS
> -------
>
> [ ... ]
>
> <COMMIT>
>   : _deflate_( <OBJECT_HEADER> <COMMIT_CONTENTS> )
>   | <COMPACT_OBJECT_HEADER> _deflate_( <COMMIT_CONTENTS> )
>   ;
>
> <COMMIT_CONTENTS>
>   : ""tree"" <SP> <HEX_OBJ_ID> <LF>
>     ( ""parent"" <SP> <HEX_OBJ_ID> <LF> )*
>     ""author"" <SP>
>       <SAFE_NAME> <SP>
>       <LT> <SAFE_EMAIL> <GT> <SP>
>       <GIT_DATE> <LF>
>     ""committer"" <SP>
>       <SAFE_NAME> <SP>
>       <LT> <SAFE_EMAIL> <GT> <SP>
>       <GIT_DATE> <LF>
>     <LF>
>     <DATA>        # <- *No trailing <LF>*
>   ;
>
> [ ... ]
>
> <DATA>
>   # Uninterpreted sequence of bytes.
>   ;
> ```

This bug was introduced in https://github.com/git-lfs/git-lfs/commit/622f9961cbdce4fb6192dda9c74a26e681bced04, and I suspect it had to do with the implementation of `assertLine`, a helper function used to make assertions about the text in a `*bytes.Buffer` between the readhead and the next `\n` character.

If reading the final line, call `buf.ReadString('\n'), and receive `(""text"", io.EOF)`, which is a valid return value, indicating that there was text ""text"", but that it is the final element of the buffer. If this is the case, the `if err != nil` check ignored the text that _was_ read, and instead failed the test.

I suspect I added a trailing `\n` to silence this error, but this is incorrect as far as Git is concerned.

This patch fixes the `assertLine` helper, removes the extra newline, and updates the appropriate tests.

##

/cc @git-lfs/core 

",1827,True,en,4
2780,9,0,0,Internals,ttaylorr,2017-12-14T17:28:44Z,440,0,30,2,"⚠️ This pull request is based off of the branches `git-odb/tag-parse` and `git-githistory-ref-updater-odb`. An inter-diff is available [here][1].

##

This pull request implements support within the `git/githistory` sub-package for rewriting annotated tags, and thus fixes https://github.com/git-lfs/git-lfs/issues/2679. From my original comment<sup>[[1](https://github.com/git-lfs/git-lfs/issues/2679#issuecomment-349177631)]</sup>:

> To the `--include-ref`, your script adds the _name of the tag_, whereas technoweenie's adds the _name of the reference_ that the tag is attached to. The difference here being, when we build up a table of previous to migrated SHA-1's, the object that is being migrated is stored, but not the tag itself.
> 
> As a concrete example, if tag A has OID 1 and points to a commit with OID 2, the migration index will contain OID 2, but not OID 1, since the OIDs aren't resolved down to the objects that they are pointing at.

Leveraging the fact that `git/odb` can now parse annotated tags (via: https://github.com/git-lfs/git-lfs/pull/2778), this pull request teaches the `*git/githistory.refUpdater` type to special-case local tags, and update create new annotated tags in their place that correctly refer to the migrated objects.

Currently, this breaks signed tags, but a subsequent pull-request will add an `--break-tags`/`--no-break-tags` option that warns when tags are signed.

Closes: https://github.com/git-lfs/git-lfs/issues/2679. 

##

/cc @git-lfs/core https://github.com/git-lfs/git-lfs/issues/2679

[1]: https://github.com/git-lfs/git-lfs/compare/0206853...git-githistory-migrate-atags",1634,True,en,6
2779,1,0,0,Internals,ttaylorr,2017-12-14T17:28:30Z,7,0,3,2,"This pull request teaches the `*git/githistory.refUpdater` to hold a reference to a `*git/odb.ObjectDatabase` in anticipation of having to rewrite (and save new) annotated tags.

##

/cc @git-lfs/core ",201,True,en,1
2778,3,0,0,Internals,ttaylorr,2017-12-14T17:28:20Z,262,0,6,2,"This pull request implements support within the `git/odb` package for reading and writing loose and packed representations of annotated tags.

The process for adding a new object type to the `git/odb` package was as follows:

1. 1e239fe: add a new `ObjectType` constant for `Tag`'s, to be used as a return value for `(*Tag) Type() ObjectType`.
2. b78fa93: implement the `Object` interface on a new concrete type, in this case `*Tag`. By implementing this interface, the `git/odb/pack` sub-package can use it for free, and _automatically read packed representations of the same object type_.
3. 944eaf8: wire up the new implementation to the `*git/odb.ObjectDatabase` type to add convenience APIs for reading/writing the new object type.

##

/cc @git-lfs/core ",760,True,en,3
2773,8,1,0,Internals,technoweenie,2017-12-14T21:41:55Z,313,48,14,7,Implements #2712 for `git lfs [ lock | unlock | locks ]`.,57,False,en,6
2770,1,0,0,Externals,sschuberth,2017-12-05T19:48:28Z,3,2,2,0,"As of [1] goversioninfo supports specifying the icon to embed as part of
versioninfo.json. Use that new mechanism for consistency with specifying
other meta-data fields.

[1] https://github.com/josephspurrier/goversioninfo/pull/17",230,False,en,0
2769,2,1,6,Internals,ttaylorr,2017-12-05T23:33:12Z,36,9,4,0,"This pull request fixes a bug pointed out by @sgoo in https://github.com/git-lfs/git-lfs/issues/2688, where `git lfs migrate info --everything` would fail when run under a bare repository.

The issue occurred because `git-lfs-migrate(1)` assumed that remote references do always exist, which is not the case when operating in a bare repository. (Interestingly, this is not the first time that I have forgotten about bare repositories: c.f., https://github.com/git-lfs/git-lfs/pull/2389, https://github.com/git-lfs/git-lfs/pull/1310).

Normally, this assumption is not error-prone, when the user provides an explicit list of reference to include and not include in a migration. However, when this list is not provided, _and_ the migration is run in a bare repository, the migrator would previously (and incorrectly) include remote references that do not exist.

From the Git documentation<sup>[[1](https://git-scm.com/docs/git-clone#git-clone---bare)]</sup>: 

> `--bare` [...] Also the branch heads at the remote are copied directly to corresponding local branch heads, without mapping them to refs/remotes/origin/.

To fix this, we skip the exclusion of remote references when the repository is bare.

Closes https://github.com/git-lfs/git-lfs/issues/2688.

##

/cc @git-lfs/core @sgoo",1286,True,en,2
2767,1,0,0,Internals,ttaylorr,2017-12-05T23:29:29Z,8,0,1,1,"This pull request adds a `Simple()` method to the `*tasklog.Logger` API, which is consistent with other existing methods, and was pointed out by @technoweenie in https://github.com/git-lfs/git-lfs/pull/2757#discussion_r154760580.

##

/cc @git-lfs/core ",253,True,en,0
2764,4,0,6,Internals,ttaylorr,2017-12-04T16:54:28Z,40,3,3,2,"This pull request resolves https://github.com/git-lfs/git-lfs/issues/2763 by adding a `--size` flag to the `git-lfs-ls-files(1)` command, which works as follows:

```
~/repository (master) $ git lfs ls-files --size
d1b2a59fbe * a.dat (8)
```

I'm not sure why we didn't have this feature previously, but to the best of my recollection, we were thinking of adding more complex options to `--size` like `--size=bytes`, `--size=kilobytes`, etc. My thought is that `--size` alone is sufficient (since downstream parsers can understand it easily), but perhaps we'd like to add more than this for command line-viewers to see something more reasonable.

I think that now is a good time to have that discussion, and I'll be more than happy to implement whatever we go with.

Closes: https://github.com/git-lfs/git-lfs/issues/2763.

##

/cc @git-lfs/core https://github.com/git-lfs/git-lfs/issues/2763",892,True,en,1
2762,12,2,2,Internals,ttaylorr,2017-12-08T17:42:08Z,265,293,12,8,"This pull request does the scaffolding necessary to, and removes the `*progress.Meter` implementation from package `progress`.

My initial approach with this branch was to copy verbatim the `*progress.ProgressMeter` type from `progress` to package `tq`. This worked fine, but I noticed that it expanded package `tq`'s API significantly, with the majority of API changes coming from `progress.DryRun`, `progress.WithOSEnv`, (etc) options. To mitigate this, my first inclination was to create a sub-package `tq/progress`, which would house these types/functions. Wanting not to create a new package, I removed the progress meter option functions in favor of an options struct, and moved that into the `tq` package directly.

Here's a quick breakdown of what happened:

1. f411d01: merge in the changes from `progress-remove-logger` to avoid a merge conflict later when merging this branch into master.
2. 145d0de, 622c7d3: teach `*ProgressMeter` to respond to the `nil`-receiver, to make it possible to remove `progress.Noop()`, and instead use `(nil)(*progress.Meter`).
3. a549105: remove `progress.Noop()`.
4. fa1d512: since `*ProgressMeter` is the only remaining implementation of `progress.Meter`, remove the `progress.Meter` interface.
5. e35d20f: rename `*progress.ProgressMeter` -> `*progress.Meter` to [avoid stuttering][1].
6. 6521683: to reduce the scope of the `*progress.Meter`-related API, remove option functions in favor of a struct-style instantiation, i,e.,

```go
m := progress.NewMeter(&progress.MeterOption{
        DryRun: false,
        // ...
})
```

7. 54fb383: finally, move `*progress.Meter` to `*tq.Meter`, thus enabling the `progress` package to be removed.

##

/cc @git-lfs/core  

[1]: https://blog.golang.org/package-names#TOC_3.",1759,True,en,0
2759,5,1,0,Internals,ttaylorr,2017-12-05T23:29:04Z,1,69,2,6,"This pull request removes `spinner.go` from package `progress` since it is no longer used within Git LFS (see: https://github.com/git-lfs/git-lfs/pull/2757, https://github.com/git-lfs/git-lfs/pull/2758).

Looking at usage of the exported identifiers in `meter.go` is the only remaining thing to look at in the progress package before it can be removed entirely 🎉 .

##

/cc @git-lfs/core ",391,True,en,0
2758,5,0,4,Internals,ttaylorr,2017-12-05T22:05:47Z,137,19,4,6,"This pull request unifies the formatting of `git-lfs-fetch(1)`'s output, similarly to https://github.com/git-lfs/git-lfs/pull/2757.

Before:

```
~/repository (master) $ git lfs fetch --all
Scanning for all objects ever referenced...
Fetching objects...
✔ 501 objects found, done
Git LFS: (291 of 291 files) 1.1 KB / 1.1 KB, done
```

After:

```
~/repository (master) $ git lfs fetch --all
fetch: Fetching all references...
fetch: 501 object(s) found, done
Git LFS: (501 of 501 files) 1.9 KB / 1.9 KB, done
```

## 

This removes the later of the two remaining uses of the `*progress.Spinner` type, which will allow it to be removed entirely in a subsequent pull request.

Similar to https://github.com/git-lfs/git-lfs/pull/2757:

> Please let me know if you have any thoughts on the formatting of these messages. I tried to make them as similar as I would imagine Git writing them, with these thoughts in mind:
> 
> 1. Lowercase prefix of the command that is being run.
> 2. "", done\n"" on the end (courtesy of `*tasklog.Logger`).
> 3. ~~Use percentages where appropriate, text where otherwise.~~

##

/cc @git-lfs/core ",1123,True,en,1
2757,18,3,10,Internals,ttaylorr,2017-12-05T01:29:13Z,103,80,6,6,"This pull request removes the use of the `*progress.Spinner` type in `git-lfs-prune(1)` in favor of a more consistent logging scheme.

Before:

```
~/example (master) $ git lfs prune
Pruning 1 files, (18 B)tained
✔ 3 local objects, 2 retained, done
✔ Deleted 1 files, done
```

After:

```
~/example (master) $ git lfs prune
prune: 3 local object(s), 2 retained, done
prune: Deleting objects: 100% (1/1), done
```

##

This removes one of two existing uses of the `*progress.Spinner` implementation, and the next pull-request in this series will remove the other use-case, which will allow `*progress.Spinner` to be deleted.

Please let me know if you have any thoughts on the formatting of these messages. I tried to make them as similar as I would imagine Git writing them, with these thoughts in mind:

1. Lowercase prefix of the command that is being run.
2. "", done\n"" on the end (courtesy of `*tasklog.Logger`).
3. Use percentages where appropriate, text where otherwise.

##

/cc @git-lfs/core ",1005,True,en,3
2756,2,0,0,Internals,ttaylorr,2017-12-01T17:40:23Z,127,8,3,3,"This pull request introduces a new `Task` implementation, `*tasklog.SimpleTask`, for logging unrelated messages.

This functionality is required in replacing the usage of `*progress.Spinner` from within the `git-lfs-prune(1)` command. Instead of building domain-specific Task implementations, this pull request proposes the introduction of a string-based Task implementation that logs (and formats) strings without formatting guidelines.

This allows for quick prototyping of new Logger use-cases without the need to build out domain-specific loggers, and is a good fit for use within the `git-lfs-prune(1)` command.

##

/cc @git-lfs/core ",640,True,en,1
2755,1,1,0,Internals,ttaylorr,2017-12-01T17:40:14Z,1,8,1,3,"This pull request changes the behavior of `*tasklog.ProgressTask` to no longer drop updates where the channel write to `ch` would block.

I discovered this issue while tweaking some of the output in the `git-lfs-prune(1)` command to use the new utilities provided by package `tasklog`. Sometimes, when using the `*PercentageTask` implementation provided, the final line would be:

```
<prefix>:   0% (0 of 1)
```

when it instead should have been:

```
<prefix>: 100% (1 of 1)
```

This is due to the non-blocking write that is removed in this pull-request. This is an artifact left over from before https://github.com/git-lfs/git-lfs/commit/fc1faca25aa1942aef8902bd6f1b1790ca6fdfed, when the `*log.Logger` implementation was taught how to discard too-frequent updates.

The old non-blocking write would cause some messages to be dropped in a race-y fashion when combined with this too-frequent filtering. To address this, write all updates, and expect instead that the `*tasklog.Logger` will drop them appropriately.

## 

/cc @git-lfs/core ",1042,True,en,0
2751,2,0,0,Externals,wsprent,2017-11-27T21:42:32Z,36,2,2,4,"Currently `git migrate import` corrupts commit objects which contain empty committer/author names by removing the leading space from the email 

(i.e. `author 'SP' 'SP' <my@email.com> --> author 'SP' <my@email.com>`).

This causes `git fsck` to fail with a 
`missingNameBeforeEmail: invalid author/committer line - missing space before email`
error. (And, I guess, would also mangle names containing consecutive whitespace... ;) )

This PR modifies `Commit.Decode` to grab the identifiers as is, retaining all whitespace.",521,True,en,1
2750,4,0,2,Internals,ttaylorr,2017-12-01T18:03:40Z,64,41,3,8,"This pull request is the second-to-last step in extracting the implementation of `*progress.Meter` from the `progress` package.

In addition to generating formatted updates and sending them to a `*tasklog.Logger` instance, the `*progress.Meter` sends messages to a (now-defunct) `*progressLogger` implementations that writes data to an `*os.File` and calls `(*os.File).Sync()` after each successful write. If any write failed, it handles those errors gracefully.

This component of the `progress` package is more generally applicable and has potential for re-use. Before extracting the implementation of `*progress.Meter`, I'd like to pull this into package `tools`. Doing so requires the following two steps:

1. 3c09710 Fix a Tell Don't Ask violation by removing the `Shutdown()` method from `*progressLogger`.
2. a47d632 Extract and make public an implementation of `*SyncWriter` which will be used in all places where `*progressLogger` once was.

And finally, in 3ef075d, we can make the replacement.

##

/cc @git-lfs/core https://github.com/git-lfs/git-lfs/issues/2743",1074,True,en,0
2749,3,1,0,Internals,ttaylorr,2017-11-22T22:25:54Z,103,108,36,0,"This pull request moves CopyCallback (and its friends) out of the `progress` package and into the `tools` package. Since this is based on https://github.com/git-lfs/git-lfs/pull/2747, an inter-diff can be summarized as a4ff7b8.

EDIT: This is the next step in removing the `progress` package, as outlined in https://github.com/git-lfs/git-lfs/issues/2743. Prior to this pull request, `progress` consisted of:

1. The `Progress` interface
2. Implementations of the above as `*progress.Spinner` and `*progress.Meter`.
3. `CopyCallback` (and related utilities).

As it has grown, `CopyCallback`'s use has become less related to the rest of the `progress` package. Since it is used in many locations within Git LFS, this pull request proposes moving it to the `tools` package. I think that since its surface area is small, `CopyCallback`-esque functionality does not warrant an entire package of its own, and it would fit well in its current state within the `tools` package.

Following this pull request, the remainder of `progress` will be moved into the `tasklog` and `tq` packages, thus enabling us to remove the `progress` package entirely. 

##

/cc @git-lfs/core https://github.com/git-lfs/git-lfs/issues/2743",1212,True,en,7
2747,2,1,0,Internals,ttaylorr,2017-11-22T22:25:39Z,75,75,24,0,"This pull request promotes the implementation of a task-based logging system found originally in `git/githistory/log` to a new, top-level package `tlog`.

This accomplishes one of the goals that I proposed in https://github.com/git-lfs/git-lfs/issues/2743#issuecomment-345873955:

> In fewer words, here are some things that I'd like to do:
> 
> 1. [...]
> 2. Move the git/githistory/log package to package log (no longer nested in git/githistory).

However, instead of calling it `log` (confusing with Go's standard library package `log`) or `gitlog` (confusing with `git-log(1)`-related utilities), chosen here is `tlog` for **task**-log. I think that this is a good name since it:

- Isn't easily confused with other functions.
- Makes it a part of the name that this package is ""task""-based, and therefore, provides some synchronicity guarantees.

Since this package contains a mostly-stable API, I feel comfortable promoting this package to live in the `github.com/git-lfs/git-lfs`-namespace. Future goals in https://github.com/git-lfs/git-lfs/issues/2743 support adding new functionality to the `log` package, which is something that I'd like to do after moving the code, and not before.

Tracking: https://github.com/git-lfs/git-lfs/issues/2743

/cc @git-lfs/core https://github.com/git-lfs/git-lfs/issues/2743",1317,True,en,4
2746,2,2,0,Internals,ttaylorr,2017-11-22T18:47:05Z,36,1,2,0,"This pull request fixes an issue pointed out by @fortytwoish in https://github.com/git-lfs/git-lfs/issues/2742, where `git lfs status` would not correctly format un-pushed objects, producing the following:

> git lfs status shows
> 
> ```
> $ git lfs status
> On branch master
> Git LFS objects to be pushed to origin/master:
>
>         [...]
>         Content/Maps/Prototypes/Autorunner.umap (%!s(MISSING))
>         [...]
> ```

I broke this in https://github.com/git-lfs/git-lfs/commit/6089d1931 (via: https://github.com/git-lfs/git-lfs/pull/2042), and this issue wasn't caught since we don't have any integration tests covering `git lfs status` running on un-pushed objects. In this pull request, such a test is added, along with a fix to remove the `(%!s(MISSING))` verb issue.

Closes: https://github.com/git-lfs/git-lfs/issues/2742

##

/cc @git-lfs/core @fortytwoish",875,True,en,1
2739,1,0,0,Internals,ttaylorr,2017-11-20T17:44:56Z,29,22,2,2,"This pull request fixes an issue pointed out by @phord via https://github.com/git-lfs/git-lfs/issues/2655:

> I have a large repo with 45000 refs. When I first tried to run git lfs migrate info on it, it failed with  this error:
>
> ```
> $ git lfs migrate info
> migrate: Fetching remote refs: ..., done
> fork/exec /usr/libexec/git-core/git: argument list too long
> ```

The general problem is that when migrating a set of references who's combined string length is longer than the system argument list limit, the system will refuse to execute the `git-rev-list(1)` command because its arguments are too long.

One approach in fixing this is to process separate invocations of `git-rev-list` and merge the results back together, but this gets complicated fairly quickly when merging distinct topologically ordered sets.

Another approach (and one that was already used in a particular case of `git-rev-list(1)` invocation) is to use the `--stdin` flag, which<sup>[[1](https://git-scm.com/docs/git-rev-list#git-rev-list---stdin)]</sup>:

> In addition to the <commit> listed on the command line, read them from the standard input. If a `--` separator is seen, stop reading commits and start reading paths to limit the result.

And will, in effect, allow an arbitrarily long list of references to be read over stdin, mitigating the argument length problem. We already used this in certain cases of `git.ScanLeftToRemote`, but this change teaches the `git.RevListScanner` to use `--stdin` for _all_ modes. 

Closes: https://github.com/git-lfs/git-lfs/issues/2655.

##

/cc @git-lfs/core https://github.com/git-lfs/git-lfs/issues/2655",1633,True,en,1
2738,5,1,0,Internals,ttaylorr,2017-11-20T18:55:42Z,92,5,4,3,"This pull request addresses an enhancement pointed out @phord in https://github.com/git-lfs/git-lfs/issues/2656 where the `git-lfs-migrate(1)` command's use of `git-fetch(1)` would make the command un-useable offline.

Since it's been a little while since I've thought about how this works, here's a refresher for my own edification. When determining what to migrate, the tool considers first explicitly given references, or, if none were provided, the unpushed changes on the current branch (i.e., `git log <branch>..<remote-tracking-branch>`). To ensure that we get an up-to-date result and don't accidentally require a force push when the user wasn't expecting one, we always `git fetch` to grab the latest remote refs, if any of them have moved.

Prior to this pull request, there was no way to explicitly disable that, meaning if you don't have an internet connection, you have to (at least) remove remotes, which means the migration won't update any remote refs (since they will be deleted when calling `git remote remove`).

This pull request addresses this problem by providing a `--assume-current-remote-refs` that explicitly tells Git LFS to _not_ contact the remote, and assume the copy of remote references it currently has is up-to-date.

I decided against the original issue title:

> [...] shouldn't fetch or reach out to the remote at all without permission

Since I think the default behavior is safe, if not at least good. I would prefer to explicitly opt-_out_ of the safe behavior rather than into it.

Closes: https://github.com/git-lfs/git-lfs/issues/2656.

##

/cc @git-lfs/core https://github.com/git-lfs/git-lfs/issues/2656",1648,True,en,2
