pull_request,number_of_commits,number_of_comments,number_of_reviews,user_type,user_login,merged_at,number_of_additions,number_of_deletions,number_of_files_changed,number_of_days,message,number_of_characters,second_line_is_blank,language,number_of_test_files
11532,3,5,0,Externals,sethlu,2018-01-04T17:53:59Z,28,24,4,7,"Migrating MenuItem roles to be in camelCase while keeping backward lowercase compatibility.

Closes #10372
CC: @zeke",119,True,en,0
11527,2,0,0,Internals,zcbenz,2017-12-27T12:45:33Z,15,1,2,0,"This ports https://github.com/electron/electron/pull/11526 to master branch.

Note that the patch on Node is slightly different, I also patched the code in `src/node_http2.cc`.",178,True,en,0
11526,2,0,0,Internals,zcbenz,2017-12-27T12:45:22Z,15,1,2,0,"Node.js added a few new C++ code in the crypto module, which passes some memory allocated with Node's allocator to blink, while blink then would try to free the memory with Chromium's allocator.

This is fixed by patching Node's code to use Chromium's allocator.

The patch on Node can be found at https://github.com/electron/node/commit/b6a9b918264d3e1df491cf0e2d32a1ed9686ec3f.

Close https://github.com/electron/electron/issues/11457.",443,True,en,0
11511,1,2,0,Externals,HayateLaTech,2017-12-22T15:05:38Z,1,1,1,0,fixed typo,10,False,en,0
11510,2,1,0,Internals,zcbenz,2017-12-22T14:40:19Z,22,18,7,0,"The default V8 platform of gin relies on Chromium's message loop, which has not been initialized when Node.js is loaded.

This PR should be able to fix the startup hang on Windows x64.

/cc @alexeykuzmin The commits are picked up from the Chrome62 branch and will cause conflicts.",284,True,en,0
11507,10,2,0,Internals,codebytere,2018-01-06T15:58:25Z,133,98,44,15,"🙅  do not merge 🙅 

/cc @alexeykuzmin 
  ",50,True,pl,0
11504,1,2,0,Externals,kylecorry31,2017-12-22T04:57:55Z,1,1,1,0,"Similar to this PR: https://github.com/electron/electron/pull/10355 , Pop!_OS suffers from the same problem. Using Ubuntu AppIndicator will not show the icon currently unless the XDG_CURRENT_DESKTOP variable is modified. This commit will add support for pop so that this workaround is not needed. 

Ref: https://github.com/pop-os/pop/issues/84",345,True,en,0
11499,1,1,0,Externals,deepak1556,2018-01-02T07:21:48Z,47,17,2,11,"Backports https://github.com/electron/electron/pull/11385

Refs https://github.com/electron/electron/issues/11376

I skipped some of the tests from the original PR that would default to the sync menu in this branch.",219,True,en,0
11495,2,1,0,Internals,zcbenz,2017-12-21T07:59:47Z,29,8,4,0,"The close callback passed to MenuRunner should only do cleanup job, e.g. erase the runner from map. While the ClosePopupAt API should only cancel the menu, and let the close callback do cleanup job. Merging the two jobs together would crash under edge cases.

This PR also fixes the problem that closing a popup menu without focused window does not work.

This should fix the Windows CI failure.",399,True,en,0
11493,1,1,0,Internals,zcbenz,2017-12-21T02:52:54Z,1,1,1,0,Refs https://github.com/electron/libchromiumcontent/pull/420.,61,False,en,0
11489,1,3,0,Externals,deepak1556,2017-12-20T22:12:27Z,32,2,1,0,"Backports https://github.com/electron/electron/pull/11238

Refs https://github.com/electron/electron/issues/11147",115,True,en,0
11487,1,0,6,Internals,jkleinsc,2018-01-08T16:01:56Z,206,2,6,18,"This PR adds testing for our arm, arm64 and ia32 linux builds on CircleCI.

For ia32, we can simply run the tests we run for x64 because a 32 bit executable can run in the 64 bit VM.

For arm and arm64, we need to use qemu to emulate those architectures.  We are doing so by building custom docker images on top of the [multiarch/debian-debootstrap](https://github.com/multiarch/debian-debootstrap) docker images.

At this point, we can only run the executable and verify that the version is correct.  The tests also check to make sure there isn't a core dump when running the executable.  Please note that right now the arm build in master does throw a core dump, so you will see that test failing. ",706,True,en,0
11482,1,1,0,Externals,MarshallOfSound,2017-12-20T16:46:40Z,1,1,1,0,"After figuring this out I found out this code change is already in master so this just needs to go to the 1-8-x branch 👍 

Fixes #11430",140,True,en,0
11481,2,2,4,Externals,teiles,2018-01-06T04:43:27Z,0,2,1,17,"Noticed during failed compiles that the electron.d.ts getBlobData( ) return type `Blob` was not found.  A small oversight in documenting the API docs which are used to generate electron.d.ts.

To play around with this workflow, you can change the API documentation then `npm run create-typescript-definitions`
#",314,True,en,0
11476,1,0,0,Internals,ckerr,2017-12-19T16:52:19Z,8,1,1,0,"Cherry-pick of @catalin's https://github.com/electron/electron/commit/6af18895c31a5eb8aed4e2365b36fffaeb0aa328 for 1-8-x 

cc @alexeykuzmin ",142,True,en,0
11470,2,1,1,Internals,codebytere,2017-12-20T01:08:10Z,3,2,1,0,"Add a few sentences to the beginning of the node upgrade doc to make more clear how the initial branch is made. 

/cc @alexeykuzmin ",134,True,en,0
11467,1,0,0,Externals,leo,2017-12-18T22:17:15Z,3,7,1,0,"This improves the information around what Hazel is and what it's here for. Now that it supports private repositories, I also included that!

Furthermore, I made sure the dashes are all `—` (em dashes).

**BEFORE**

<img width=""859"" alt=""screen shot 2017-12-18 at 21 19 06"" src=""https://user-images.githubusercontent.com/6170607/34126236-30a5003c-e439-11e7-8090-7daa5626dfec.png"">

**AFTER**


<img width=""846"" alt=""screen shot 2017-12-18 at 21 18 43"" src=""https://user-images.githubusercontent.com/6170607/34126253-38ff31d0-e439-11e7-8ffa-c938a4ddfda1.png"">",570,True,en,0
11466,13,0,0,Internals,ckerr,2017-12-20T16:55:50Z,77,49,1,2,"`scripts/cpplint.py` currently runs on our entire codebase, which is perfect for CI but slow for a human who wants to check a few changes they just made pre-commit. This PR adds a command-line option to run only on changed files, making it faster to use during iterative development.

It also adds a 'verbose' mode to handle for the use case of having perfect files the first time through *cough* such that cpplint returns no output. With verbose mode, you know something did indeed get checked :)

These two new flags are for human use and don't affect CI.

Sample use from command line: `./scripts/cpplint.py -cv`",621,True,en,0
11465,9,6,9,Internals,ckerr,2018-01-04T19:16:07Z,35,4,2,17,"This PR tries to ensure that a Worker's event loop has no pending business before the loop is closed. It does this by
 1. calling `uv_stop()` on the loop
 2. walking the event loop to close() all active handles
 3. calling [`uv_loop_run(UV_RUN_DEFAULT)`](http://docs.libuv.org/en/v1.x/loop.html#c.uv_run) so that pending handles can be disposed of properly

This is related to #11243

In addition, since `uv_loop_new()` and `uv_loop_destroy()` are deprecated API, this patch replaces those with `uv_loop_init()` and `uv_loop_close()`",540,False,en,0
11448,1,2,0,Externals,TheDancingCode,2017-12-15T21:06:38Z,1,1,1,0,"While browsing the docs I git a mixed content warning on https://electronjs.org/docs/tutorial/desktop-environment-integration:

> `Mixed Content: The page at 'https://electronjs.org/docs/tutorial/desktop-environment-integration' was loaded over HTTPS, but requested an insecure image 'http://i.msdn.microsoft.com/dynimg/IC420539.png'. This content should also be served over HTTPS.`

I replaced the insecure request with a secure one.",438,True,en,0
11431,5,3,0,Externals,felixrieseberg,2017-12-19T15:06:13Z,75,5,6,5,"We at Slack were about to switch to Electron's very own notifications for macOS, but we're seeing some trouble with notifications just silently not showing up. Debugging this is currently very difficult - we don't actually know where exactly things are going wrong – and without attaching a debugger on our customer's machines, it might continue to be difficult.

This PR adds logging statements to Electron's native notifications for macOS and Windows 10. It doesn't change any logic and _only_ starts logging if the environment variable `ELECTRON_DEBUG_NOTIFICATIONS` is set, together with the already existing `--enable-logging` parameter.

Output looks roughly like this:

```
[24035:1213/163133.070393:VERBOSE1:CONSOLE(8192)] ""Main._createAppUI: 70.869873046875ms"", source: chrome-devtools://devtools/bundled/inspector.js (8192)
[24035:1213/163133.372009:VERBOSE1:CONSOLE(8192)] ""Main._showAppUI: 83.883056640625ms"", source: chrome-devtools://devtools/bundled/inspector.js (8192)
[24035:1213/163133.380724:VERBOSE1:CONSOLE(8192)] ""Main._initializeTarget: 13.277099609375ms"", source: chrome-devtools://devtools/bundled/inspector.js (8192)
[24035:1213/163136.552704:INFO:cocoa_notification.mm(41)] Notification created (ElectronNotification1)
[24035:1213/163136.659964:INFO:cocoa_notification.mm(114)] Notification displayed (ElectronNotification1)
[24035:1213/163149.003999:INFO:cocoa_notification.mm(41)] Notification created (ElectronNotification2)
[24035:1213/163149.107720:INFO:cocoa_notification.mm(114)] Notification displayed (ElectronNotification2)
[24035:1213/163152.011869:INFO:notification_center_delegate.mm(33)] Notification activated (ElectronNotification2)
[24035:1213/163152.012128:INFO:cocoa_notification.mm(114)] Notification replied to (ElectronNotification2)
```",1805,True,en,0
11428,1,6,0,Externals,TechnicalSoup,2018-01-05T16:42:10Z,2,2,1,22,"Explicitly list the possible string return values for the updated and done events so that the typescript declaration file can model them more accurately. At present they are represented as a string type.

Fixes : https://github.com/electron/electron-typescript-definitions/issues/71",284,True,en,0
11427,2,1,0,Internals,jkleinsc,2017-12-18T18:20:32Z,1190,117,9,5,"1. Update libcc to latest from electron-1-7-x
2. Add release scripts to 1-7-x branch.",86,False,en,0
11426,1,2,0,Externals,mikoto2000,2017-12-13T15:21:42Z,1,1,1,0,"""Electron versioning""'s link is broken.",39,False,en,0
11422,4,2,0,Internals,codebytere,2017-12-13T21:32:01Z,2,2,2,0,"This PR upgrades submodule references for Node to v.8.9.3.

Should NOT be merged until https://github.com/electron/libchromiumcontent/pull/416 is merged. 

/cc @alexeykuzmin ",178,True,en,0
11421,1,2,0,Externals,lurch,2017-12-13T03:36:36Z,3,3,1,0,,0,False,en,0
11420,3,11,0,Externals,joeydlee95,2018-01-05T16:39:34Z,114,2,2,23,"#11368 

Checks all relative links from every .md file in to see if it points to an existing file or existing file and header location. Prints the file name of where the links are broken and the tabbed output are the broken links within that file.

Does not check for valid remote links. 

",296,True,en,0
11419,12,4,3,Externals,felixrieseberg,2017-12-13T02:56:41Z,69,13,2,0,"This is exactly the same as #11385, but rebased on top of master. It didn't hang for me, so I'm reopening this PR to see how CI behaves now.",140,False,en,0
11418,4,0,0,Internals,codebytere,2017-12-13T21:48:21Z,72,0,5,1,"Fixed hanging issues in previous PR.

/cc @ckerr @alexeykuzmin ",65,True,en,0
11415,1,1,0,Externals,alexeykuzmin,2017-12-12T14:56:12Z,12,76,2,0,"Reverts electron/electron#11385

cc @felixrieseberg, @ckerr ",62,True,de,0
11414,1,1,0,Externals,alexeykuzmin,2017-12-12T14:46:48Z,0,63,5,0,"Reverts electron/electron#11395

cc @codebytere, @ckerr ",58,True,ca,0
11409,6,5,3,Externals,felixrieseberg,2017-12-28T11:18:34Z,101,52,4,16,"This PR allows you to run `npm run test -match=menu`, which will then only run spec modules matching `menu`. This is crazy useful for anyone who's working on tests that would otherwise be at the very end of the testing cycle.

Also: I've used the opportunity to upgrade the JavaScript in `index.html` to ES6 and StandardJS, in line with our coding standards.",360,True,en,1
11406,2,2,0,Externals,xxczaki,2017-12-11T23:48:34Z,1,0,1,0,Available here: electronpl.github.io,36,False,en,0
11396,44,4,13,Externals,deepak1556,2018-01-04T12:19:12Z,426,222,54,24,"ToDo:
~~Refactor JsAsker class to avoid dereferencing weakPtr on a sequence it wasn't created on https://github.com/electron/electron/blob/master/atom/browser/net/js_asker.h#L83~~

~~Fix and enable stream protocol specs after https://github.com/electron/electron/pull/11357~~

~~Remove ThreadRestrictions::ScopedAllowIO usage where possible. Currently we are doing some blocking IO tasks on UI thread~~

Debug Build:
- [x] MacOS
- [x] Linux
- [x] Windows
  ",468,False,en,0
11395,12,1,33,Internals,codebytere,2017-12-11T23:45:33Z,63,0,5,1,"Implements feature requested in https://github.com/electron/electron/issues/11305.

To-Do:
- [x] Add test for `systemPreferences.registerDefaults()` success
- [x] Add test for `systemPreferences.registerDefaults()` failure 
- [x] Update `systemPreferences` docs",266,True,en,0
11385,11,4,14,Externals,felixrieseberg,2017-12-12T00:02:34Z,76,12,2,3,"This PR does three things:

• Calling `menu.popup({})` used to be okay, but broke in the last beta. This fixes that.
• We assigned defaults incorrectly, overriding user input 😱 
• Tests!

Closes https://github.com/electron/electron/issues/11376",262,True,en,0
11380,1,0,0,Externals,cifratila,2017-12-08T16:09:34Z,8,1,1,0,"Security Improvement: Enable Control Flow Guard compile flag on Windows

https://docs.microsoft.com/en-us/cpp/build/reference/guard-enable-control-flow-guard",159,True,en,0
11379,2,0,0,Externals,TiagoDanin,2017-12-08T16:08:44Z,28,40,2,0,,0,False,en,0
11370,2,0,0,Externals,deepak1556,2017-12-07T20:55:33Z,42,30,5,0,"Fixes https://github.com/electron/electron/issues/11319 , https://github.com/electron/electron/issues/11318",107,False,en,0
11367,3,0,0,Internals,zeke,2017-12-06T23:05:01Z,158,162,6,0,This will let us put off the problem of dealing with renames / redirects until another day.,91,False,en,0
11365,1,2,0,Internals,jkleinsc,2017-12-06T21:26:33Z,0,25,1,0,This configuration isn't used anymore - appveyor setup is defined on server,75,False,en,0
11364,2,0,3,Internals,groundwater,2017-12-06T23:00:43Z,2,2,1,0,"I think we're making links relative within the docs, and not directly pointing to the electronjs.org website.",109,False,en,0
11359,1,0,11,Externals,alespergl,2017-12-11T16:18:28Z,55,33,2,5,"The class didn't save the V8 context for the spell checking JS function. When
it later tried to call the JS function and there was no active context, V8
crashed.

I also optimized the spell checking loop by introducing `SpellCheckScope` and
reusing the V8 handles throughout the whole loop.",295,False,en,0
11356,2,0,0,Internals,simurai,2017-12-07T21:53:45Z,0,0,3,1,"This PR replaces the app icons with a new version:

Before | After
--- | ---
![128](https://user-images.githubusercontent.com/378023/33656797-87390d90-daba-11e7-8f90-05ba479b3931.png) | ![128-1](https://user-images.githubusercontent.com/378023/33656802-8ad82076-daba-11e7-9f8a-adc0ead8b5a9.png)


### Benefits

Matches Electron's avatar, website etc.


### Applicable issues

Closes https://github.com/electron/design/issues/9
",442,True,en,0
11355,1,2,0,Internals,zcbenz,2017-12-06T10:31:04Z,1,1,1,0,The bump of docs linter module is breaking our CI,49,False,en,0
11342,1,3,0,Internals,jkleinsc,2017-12-06T06:02:28Z,15,9,3,0,This is a followup to #11306 which enables testing of the powerMonitor events on CircleCI.,90,False,en,0
11330,1,0,0,Internals,jkleinsc,2017-12-04T19:49:32Z,12,8,1,0,Added timeout to Jenkins CI builds to abort if they take longer than 1 hour.,76,False,en,0
11329,10,4,0,Externals,felixrieseberg,2017-12-06T23:31:51Z,107,6,3,2,"As it turns out, when I first built `removeAsDefaultProtocolClient`, I didn't _really_ cleanup after ourselves. This PR fixes that, ensuring that calling those two commands doesn't leave garbage in the registry:

:one: `setAsDefaultProtocolClient('foo')`
:two: `removeAsDefaultProtocolClient('foo')`

Thanks to @juturu for noticing.

Closes https://github.com/electron/electron/issues/9944

",400,True,en,0
11327,1,0,0,Externals,MarshallOfSound,2017-12-04T16:43:50Z,1,1,1,0,Cherry picks #10540 to unblock the `1-7-x` branch from linting 👍 ,68,False,en,0
11321,2,3,0,Internals,codebytere,2017-12-07T19:49:19Z,7,11,2,5,"This PR adds back the deprecation warning removed in https://github.com/electron/electron/pull/11013. 

/cc @alexeykuzmin ",124,True,en,0
11317,1,0,0,Externals,alespergl,2017-12-02T14:26:13Z,0,0,1,0,"I cut the video to 3 seconds and removed the audio track, which makes the test
finish a lot sooner. Also the asar file is 160 kB instead of 1 MB.",146,False,en,0
11316,2,1,0,Externals,felixrieseberg,2017-12-06T05:50:13Z,13,17,1,4,"We've received reports that _some_  users see a `Update.exe` window flash on screen whenever you run `autoUpdater` operations. That makes sense: Node allows us to explicitly ask for the window to be hidden, which we didn't do.

Also, I sprinkled some ES6 across the file - we don't need all that `var` anymore 😉 

Closes https://github.com/electron/electron/issues/11269",377,True,en,0
11315,1,2,0,Externals,insideGen,2017-12-02T14:27:43Z,1,1,1,0,,0,False,en,0
11314,1,0,0,Internals,zeke,2017-12-02T01:03:17Z,1,1,1,0,"The electron website gets its docs from the [electron-i18n](https://github.com/electron/electron-i18n) repo, which concerns itself with text, not assets like image files. Rather than trying to preserve the image file and its relative URL across this transition, I think it would be easier to just use URL references that are guaranteed to work in any context.",359,False,en,0
11312,3,0,0,Internals,codebytere,2017-12-01T22:03:52Z,271,237,3,0,"Split `api-ipc-spec.js` into three files:
1. `api-ipc-renderer-spec.js`
2. `api-ipc-main-spec.js`
3. `api-remote-spec.js`

This is being done for clarity, to reduce specs with huge numbers of tests, and to make it easier in the future to sort tests by categorization into `renderer`, `browser`, and `common`.",313,False,en,0
11311,1,0,0,Internals,zeke,2017-12-03T14:34:08Z,2,2,2,1,Reported by a translator in Crowdin: https://crowdin.com/translate/electron/150/en-uk#11450,91,False,en,0
11306,2,16,13,Externals,tarruda,2017-12-05T15:17:00Z,300,2,9,4,"Since this is very platform-specific, I see no way to test this other than manually (which I did).",98,False,en,1
11302,1,2,0,Externals,deepak1556,2017-12-01T10:57:25Z,1,1,1,0,Fixes https://github.com/electron/electron/issues/11289,55,False,en,0
11301,1,2,0,Externals,wlbentley,2017-12-01T16:48:47Z,2,2,1,0,,0,False,en,0
11300,8,4,1,Internals,zcbenz,2017-12-05T01:35:50Z,199,47,10,3,"Close #3177.

### `contents.setDevToolsWebContents(devToolsWebContents)`

* `devToolsWebContents` WebContents

Uses the `devToolsWebContents` as the target `WebContents` to show devtools.

The `devToolsWebContents` must not have done any navigation, and it should not
be used for other purposes after the call.

By default Electron manages the devtools by creating an internal `WebContents`
with native view, which developers have very limited control of. With the
`setDevToolsWebContents` method, developers can use any `WebContents` to show
the devtools in it, including `BrowserWindow`, `BrowserView` and `<webview>`
tag.

An example of showing devtools in a `<webview>` tag:

```html
<html>
<head>
  <style type=""text/css"">
    * { margin: 0; }
    #browser { height: 70%; }
    #devtools { height: 30%; }
  </style>
</head>
<body>
  <webview id=""browser"" src=""https://github.com""></webview>
  <webview id=""devtools""></webview>
  <script>
    const browserView = document.getElementById('browser')
    const devtoolsView = document.getElementById('devtools')
    browserView.addEventListener('dom-ready', () => {
      const browser = browserView.getWebContents()
      browser.setDevToolsWebContents(devtoolsView.getWebContents())
      browser.openDevTools()
    })
  </script>
</body>
</html>
```

An example of showing devtools in a `BrowserWindow`:

```js
const {app, BrowserWindow} = require('electron')

let win = null
let devtools = null

app.once('ready', () => {
  win = new BrowserWindow()
  win.loadURL('https://github.com')
  win.show()
  devtools = new BrowserWindow({show: false})
  devtools.show()
  win.webContents.setDevToolsWebContents(devtools.webContents)
  win.webContents.openDevTools({mode: 'detach'})
})
```

![screen shot 2017-12-01 at 11 59 10](https://user-images.githubusercontent.com/639601/33466097-21e7fd72-d68f-11e7-9cab-8b6eed624f1d.png)
",1940,True,en,0
11297,3,1,7,Internals,jkleinsc,2017-12-04T16:56:54Z,9,1114,9,3,"Since we are no longer using Travis for CI, this PR removes unneeded references to Travis.

Resolves #11288 ",110,True,en,0
11292,17,19,7,Externals,AdrienFery,2018-01-10T10:42:04Z,701,0,15,40,"In order to release a commercial application on the Mac Apple Store, it must use in-app purchase (see [App Store Guidelines](https://developer.apple.com/app-store/review/guidelines/#in-app-purchase)). It is why I have added the in-app purchase feature for MacOS into Electron. I have tested the build and it works well but I didn't implement automatic tests.

Let me know if you see some modifications to do.

See [in-app-purchase.md](https://github.com/AdrienFery/electron/blob/in-app-purchase-macos/docs/api/in-app-purchase.md) for the module documentation.

<img width=""901"" alt=""screen shot"" src=""https://user-images.githubusercontent.com/8200795/33381878-7dec43d8-d51f-11e7-9d0d-7232c6dc707b.png"">
",710,True,en,0
11291,1,0,0,Internals,zcbenz,2017-11-30T18:43:59Z,1,1,1,0,"The latest version of coffee-script released a few hours ago has some regression causing our test to fail. Did not look into the root cause, but this test is to ensure we don't have a regression, instead of checking the compatibility with coffee-script, so locking the version is fine.

The failing log is https://windows-ci.electronjs.org/project/AppVeyor/electron/build/1.0.1309/job/rtetst3ovldt9286, seems to be a Windows-only thing.

```
not ok 770 modules support third-party module coffee-script can be registered and used to require .coffee files
  AssertionError [ERR_ASSERTION]: Got unwanted exception.
      at innerThrows (assert.js:653:7)
      at Function.doesNotThrow (assert.js:665:3)
      at Context.it (C:\projects\electron\spec\modules-spec.js:61:16)
      at callFn (C:\projects\electron\spec\node_modules\mocha\lib\runnable.js:348:21)
      at Test.Runnable.run (C:\projects\electron\spec\node_modules\mocha\lib\runnable.js:340:7)
      at Runner.runTest (C:\projects\electron\spec\node_modules\mocha\lib\runner.js:443:10)
      at C:\projects\electron\spec\node_modules\mocha\lib\runner.js:549:12
      at next (C:\projects\electron\spec\node_modules\mocha\lib\runner.js:361:14)
      at C:\projects\electron\spec\node_modules\mocha\lib\runner.js:371:7
      at next (C:\projects\electron\spec\node_modules\mocha\lib\runner.js:295:14)
```",1377,True,en,0
11283,1,6,0,Externals,tarruda,2017-12-12T01:49:18Z,7,0,1,12,,0,False,en,0
11282,4,1,0,Externals,Toinane,2017-12-03T15:01:24Z,317,317,39,4,"hey folks, when I translate the documentation, I see a lot of sentences without dots at the end. some double spaces and things like that. A few ""(optional)"" wording was after the ""-"" and others before.
So I've fixed that 👍 ",227,False,en,0
11279,1,1,0,Externals,sethlu,2017-12-19T06:28:03Z,2,0,1,20,"Something a little trivial that I realized: It may be better to also update the singleton submenu's title to have the same as that of the replaced submenu.

Following https://github.com/electron/electron/pull/11166, the change introduced here updates the title of the submenu.",278,True,en,0
11272,3,7,3,Externals,matt-way,2018-01-10T04:13:11Z,9,3,1,42,"When the tray icon is destroyed, sometimes a `mouseExited` event is triggered late, causing a crash. This is fixed by explicitly removing the tracking area when removing the tray icon.",184,False,en,0
11271,6,3,0,Externals,deepak1556,2017-12-04T15:33:48Z,27,10,8,6,"This pulls and tests https://github.com/electron/libchromiumcontent/pull/403

Refs https://github.com/electron/libchromiumcontent/issues/359

/cc @alexeykuzmin @alespergl @zcbenz @ckerr ",190,True,en,0
11268,1,6,0,Externals,alespergl,2017-11-27T18:20:45Z,12,7,1,0,Fixing crash introduced by https://github.com/electron/electron/commit/2c063f93ff97cd3478f2020ab343b6249fe12546,111,False,en,0
11264,6,6,9,Externals,brenca,2017-12-20T10:37:45Z,61,5,8,23,"Fixes #10464 

The pepper flash menu seems to send the commands to the plugin when the context menu is closed. Currently, we instantly send the context menu close event when the flash context menu is opened, which causes the menu to not work properly.",253,True,en,0
11257,1,4,0,Externals,alexeykuzmin,2017-11-27T15:41:57Z,0,3,1,2,"All menus have become async after the Chromium 61 upgrade.
Fixes #11242.

@zeke, should I do anything else besides updating that menu.md file?",145,False,en,0
11256,2,3,0,Externals,alexeykuzmin,2017-11-30T18:48:00Z,6,3,1,5,"Fixes #11244.

_The test is simply enabled, is still has to be fixed._
/cc @deepak1556 ",90,True,en,0
11255,3,1,0,Externals,alexeykuzmin,2017-11-30T18:48:11Z,21,7,2,5,"Fixes #11245.

_Tests are simply enabled, they still have to be fixed._",73,True,en,0
11254,1,2,0,Externals,alexeykuzmin,2017-11-30T17:55:50Z,8,16,1,5,"Fixes #11246.

_Tests are simply enabled, they still have to be fixed._
/cc @codebytere ",91,True,en,0
11253,1,3,0,Externals,alexeykuzmin,2017-11-26T07:00:47Z,1,1,1,1,"[upgrading-node.md](https://github.com/electron/electron/blob/master/docs/development/upgrading-node.md) doesn't look good now. It also fails `npm run lint-docs`.

**Now**
<img width=""946"" alt=""screen shot 2017-11-25 at 00 58 25"" src=""https://user-images.githubusercontent.com/607250/33225643-d554f20c-d17b-11e7-9b59-3e0541374d81.png"">

**Should be**
<img width=""944"" alt=""screen shot 2017-11-25 at 13 02 29"" src=""https://user-images.githubusercontent.com/607250/33230299-f5af721a-d1e0-11e7-8e94-b71eb4cc7108.png"">


/cc @codebytere, @ckerr ",550,True,en,0
11250,1,0,0,Internals,codebytere,2017-11-25T05:05:27Z,2,3,1,0,Fixes failing tests resultant of missing code-language flag in `upgrading-node.md`,82,False,en,0
11249,5,1,0,Internals,ckerr,2017-11-27T23:55:13Z,88,60,2,3,,0,False,en,0
11247,3,1,0,Internals,ckerr,2017-11-24T10:38:11Z,74,74,16,0,"Does what it says on the tin.

Not the most complicated patch in the world, more of a since-we're-in-the-neighborhood with all the documentation work and I keep seeing `bash`, I was reminded of [this discussion](https://github.com/electron/electron/pull/11178#issuecomment-345773553) with @zeke, @vanessayuenn  and me on this topic",333,True,en,0
11241,1,0,0,Externals,alexeykuzmin,2017-11-27T08:49:06Z,1,1,1,2,"Use a commit from the libcc's `master`, not from a feature branch.",66,False,en,0
